"Code"	"Country"	"variable"	"value"
40	"Austria"	"1850"	0
56	"Belgium"	"1850"	3.65072
250	"France"	"1850"	0
276	"Germany"	"1850"	0
528	"Netherlands"	"1850"	0
756	"Switzerland"	"1850"	0
208	"Denmark"	"1850"	0
233	"Estonia"	"1850"	0
246	"Finland"	"1850"	0
352	"Iceland"	"1850"	0
372	"Ireland"	"1850"	0
428	"Latvia"	"1850"	0
440	"Lithuania"	"1850"	0
578	"Norway"	"1850"	5.69453
752	"Sweden"	"1850"	0
826	"United Kingdom"	"1850"	0
300	"Greece"	"1850"	0
380	"Italy"	"1850"	0
620	"Portugal"	"1850"	0
724	"Spain"	"1850"	0
112	"Belarus"	"1850"	0
100	"Bulgaria"	"1850"	0
203	"Czech Republic"	"1850"	0
348	"Hungary"	"1850"	0
616	"Poland"	"1850"	0
498	"Republic of Moldova"	"1850"	0
642	"Romania"	"1850"	0
643	"Russian Federation"	"1850"	0
703	"Slovakia"	"1850"	0
804	"Ukraine"	"1850"	0
124	"Canada"	"1850"	0
840	"United States of America"	"1850"	0
52	"Barbados"	"1850"	0
192	"Cuba"	"1850"	0
214	"Dominican Republic"	"1850"	0
332	"Haiti"	"1850"	0
388	"Jamaica"	"1850"	0
630	"Puerto Rico"	"1850"	0
780	"Trinidad and Tobago"	"1850"	0
188	"Costa Rica"	"1850"	0
222	"El Salvador"	"1850"	0
320	"Guatemala"	"1850"	0
340	"Honduras"	"1850"	0
484	"Mexico"	"1850"	0
558	"Nicaragua"	"1850"	0
591	"Panama"	"1850"	0
32	"Argentina"	"1850"	0
68	"Bolivia (Plurinational State of)"	"1850"	0
76	"Brazil"	"1850"	0
152	"Chile"	"1850"	0
170	"Colombia"	"1850"	0
218	"Ecuador"	"1850"	0
328	"Guyana"	"1850"	0
600	"Paraguay"	"1850"	0
604	"Peru"	"1850"	0
858	"Uruguay"	"1850"	0
862	"Venezuela (Bolivarian Republic of)"	"1850"	0
36	"Australia"	"1850"	1.06633
554	"New Zealand"	"1850"	0
242	"Fiji"	"1850"	0
4	"Afghanistan"	"1850"	0
50	"Bangladesh"	"1850"	0
356	"India"	"1850"	0
364	"Iran (Islamic Republic of)"	"1850"	0
524	"Nepal"	"1850"	0
586	"Pakistan"	"1850"	0
144	"Sri Lanka"	"1850"	0
9003	"Tibet"	"1850"	0
156	"China"	"1850"	0
408	"Democratic People's Republic of Korea"	"1850"	0
392	"Japan"	"1850"	0
410	"Korea"	"1850"	0
9002	"Taiwan"	"1850"	0
116	"Cambodia"	"1850"	0
418	"Lao People's Democratic Republic"	"1850"	0
458	"Malaysia"	"1850"	0
104	"Myanmar"	"1850"	0
608	"Philippines"	"1850"	0
702	"Singapore"	"1850"	0
764	"Thailand"	"1850"	0
704	"Viet Nam"	"1850"	0
51	"Armenia"	"1850"	0
31	"Azerbaijan"	"1850"	0
196	"Cyprus"	"1850"	0
268	"Georgia"	"1850"	0
368	"Iraq"	"1850"	0
376	"Israel"	"1850"	0
400	"Jordan"	"1850"	0
422	"Lebanon"	"1850"	0
275	"Palestinian Authority"	"1850"	0
682	"Saudi Arabia"	"1850"	0
760	"Syrian Arab Republic"	"1850"	0
792	"Turkey"	"1850"	0
398	"Kazakhstan"	"1850"	0
417	"Kyrgyzstan"	"1850"	0
762	"Tajikistan"	"1850"	0
795	"Turkmenistan"	"1850"	0
860	"Uzbekistan"	"1850"	0
12	"Algeria"	"1850"	0
818	"Egypt"	"1850"	0
434	"Libya"	"1850"	0
504	"Morocco"	"1850"	0
788	"Tunisia"	"1850"	0
204	"Benin"	"1850"	0
854	"Burkina Faso"	"1850"	0
384	"Cote d'Ivoire"	"1850"	0
270	"Gambia"	"1850"	0
288	"Ghana"	"1850"	0
324	"Guinea"	"1850"	0
430	"Liberia"	"1850"	0
466	"Mali"	"1850"	0
478	"Mauritania"	"1850"	0
562	"Niger"	"1850"	0
566	"Nigeria"	"1850"	0
686	"Senegal"	"1850"	0
694	"Sierra Leone"	"1850"	0.307155
768	"Togo"	"1850"	0
24	"Angola"	"1850"	0
120	"Cameroon"	"1850"	0
140	"Central African Republic"	"1850"	0
148	"Chad"	"1850"	0
178	"Congo"	"1850"	0
180	"Democratic Republic of the Congo"	"1850"	0
266	"Gabon"	"1850"	0
72	"Botswana"	"1850"	0
426	"Lesotho"	"1850"	0
516	"Namibia"	"1850"	0
710	"South Africa"	"1850"	0
748	"Swaziland"	"1850"	0
108	"Burundi"	"1850"	0
404	"Kenya"	"1850"	0
450	"Madagascar"	"1850"	0
454	"Malawi"	"1850"	0
480	"Mauritius"	"1850"	0
508	"Mozambique"	"1850"	0
646	"Rwanda"	"1850"	0
690	"Seychelles"	"1850"	0
706	"Somalia"	"1850"	0
800	"Uganda"	"1850"	0
834	"United Republic of Tanzania"	"1850"	0
894	"Zambia"	"1850"	0
716	"Zimbabwe"	"1850"	0
40	"Austria"	"1851"	0
56	"Belgium"	"1851"	3.74244
250	"France"	"1851"	0
276	"Germany"	"1851"	0
528	"Netherlands"	"1851"	0
756	"Switzerland"	"1851"	0
208	"Denmark"	"1851"	0
233	"Estonia"	"1851"	0
246	"Finland"	"1851"	0
352	"Iceland"	"1851"	0
372	"Ireland"	"1851"	0
428	"Latvia"	"1851"	0
440	"Lithuania"	"1851"	0
578	"Norway"	"1851"	5.68345
752	"Sweden"	"1851"	0
826	"United Kingdom"	"1851"	0
300	"Greece"	"1851"	0
380	"Italy"	"1851"	0
620	"Portugal"	"1851"	0
724	"Spain"	"1851"	0
112	"Belarus"	"1851"	0
100	"Bulgaria"	"1851"	0
203	"Czech Republic"	"1851"	0
348	"Hungary"	"1851"	0
616	"Poland"	"1851"	0
498	"Republic of Moldova"	"1851"	0
642	"Romania"	"1851"	0
643	"Russian Federation"	"1851"	0
703	"Slovakia"	"1851"	0
804	"Ukraine"	"1851"	0
124	"Canada"	"1851"	0
840	"United States of America"	"1851"	0
52	"Barbados"	"1851"	0
192	"Cuba"	"1851"	0
214	"Dominican Republic"	"1851"	0
332	"Haiti"	"1851"	0
388	"Jamaica"	"1851"	0
630	"Puerto Rico"	"1851"	0
780	"Trinidad and Tobago"	"1851"	0
188	"Costa Rica"	"1851"	0
222	"El Salvador"	"1851"	0
320	"Guatemala"	"1851"	0
340	"Honduras"	"1851"	0
484	"Mexico"	"1851"	0
558	"Nicaragua"	"1851"	0
591	"Panama"	"1851"	0
32	"Argentina"	"1851"	0
68	"Bolivia (Plurinational State of)"	"1851"	0
76	"Brazil"	"1851"	0
152	"Chile"	"1851"	0
170	"Colombia"	"1851"	0
218	"Ecuador"	"1851"	0
328	"Guyana"	"1851"	0
600	"Paraguay"	"1851"	0
604	"Peru"	"1851"	0
858	"Uruguay"	"1851"	0
862	"Venezuela (Bolivarian Republic of)"	"1851"	0
36	"Australia"	"1851"	1.14419
