"iso3"	"country"	"region"	"variable"	"value"
"AUT"	"Austria"	"Western Europe"	"1820"	4
"BEL"	"Belgium"	"Western Europe"	"1820"	4
NA	"Federal Republic of Germany (until 1990)"	"Western Europe"	"1820"	4
"FRA"	"France"	"Western Europe"	"1820"	4
NA	"German Democratic Republic (until 1990)"	"Eastern Europe"	"1820"	4
"DEU"	"Germany"	"Western Europe"	"1820"	4
"LIE"	"Liechtenstein"	"Western Europe"	"1820"	4
"LUX"	"Luxembourg"	"Western Europe"	"1820"	4
"MCO"	"Monaco"	"Western Europe"	"1820"	4
"NLD"	"Netherlands"	"Western Europe"	"1820"	4
"CHE"	"Switzerland"	"Western Europe"	"1820"	4
"ALA"	"Åland Islands"	"Western Europe"	"1820"	4
NA	"Channel Islands"	"Western Europe"	"1820"	4
"DNK"	"Denmark"	"Western Europe"	"1820"	4
"EST"	"Estonia"	"Eastern Europe"	"1820"	4
"FRO"	"Faeroe Islands"	"Western Europe"	"1820"	4
"FIN"	"Finland"	"Western Europe"	"1820"	4
"GGY"	"Guernsey"	"Western Europe"	"1820"	4
"ISL"	"Iceland"	"Western Europe"	"1820"	4
"IRL"	"Ireland"	"Western Europe"	"1820"	4
"IMN"	"Isle of Man"	"Western Europe"	"1820"	4
"JEY"	"Jersey"	"Western Europe"	"1820"	4
"LVA"	"Latvia"	"Eastern Europe"	"1820"	4
"LTU"	"Lithuania"	"Eastern Europe"	"1820"	4
"NOR"	"Norway"	"Western Europe"	"1820"	4
NA	"Sark"	"Western Europe"	"1820"	4
"SJM"	"Svalbard and Jan Mayen Islands"	"Western Europe"	"1820"	4
"SWE"	"Sweden"	"Western Europe"	"1820"	4
"GBR"	"United Kingdom"	"Western Europe"	"1820"	4
"ALB"	"Albania"	"Eastern Europe"	"1820"	4
"AND"	"Andorra"	"Western Europe"	"1820"	4
"BIH"	"Bosnia and Herzegovina"	"Eastern Europe"	"1820"	4
"HRV"	"Croatia"	"Eastern Europe"	"1820"	4
"GIB"	"Gibraltar"	"Western Europe"	"1820"	4
"GRC"	"Greece"	"Western Europe"	"1820"	4
