"Code"	"Country"	"variable"	"value"
40	"Austria"	"1810"	0
56	"Belgium"	"1810"	163.1
250	"France"	"1810"	163.9
276	"Germany"	"1810"	167.8
528	"Netherlands"	"1810"	166
756	"Switzerland"	"1810"	0
208	"Denmark"	"1810"	0
233	"Estonia"	"1810"	0
246	"Finland"	"1810"	171.9
372	"Ireland"	"1810"	168
428	"Latvia"	"1810"	0
440	"Lithuania"	"1810"	0
578	"Norway"	"1810"	168.6
752	"Sweden"	"1810"	0
826	"United Kingdom"	"1810"	169.7
8	"Albania"	"1810"	0
70	"Bosnia and Herzegovina"	"1810"	0
191	"Croatia"	"1810"	163.2
300	"Greece"	"1810"	0
380	"Italy"	"1810"	164.1
620	"Portugal"	"1810"	165.493
688	"Serbia"	"1810"	0
705	"Slovenia"	"1810"	0
724	"Spain"	"1810"	0
807	"Former Yugoslav Republic of Macedonia"	"1810"	0
112	"Belarus"	"1810"	0
100	"Bulgaria"	"1810"	0
203	"Czech Republic"	"1810"	164
348	"Hungary"	"1810"	164.7
616	"Poland"	"1810"	0
498	"Republic of Moldova"	"1810"	0
642	"Romania"	"1810"	0
643	"Russian Federation"	"1810"	159.8
703	"Slovakia"	"1810"	0
804	"Ukraine"	"1810"	0
124	"Canada"	"1810"	171.5
840	"United States of America"	"1810"	0
192	"Cuba"	"1810"	0
214	"Dominican Republic"	"1810"	0
332	"Haiti"	"1810"	0
388	"Jamaica"	"1810"	0
630	"Puerto Rico"	"1810"	0
780	"Trinidad and Tobago"	"1810"	0
188	"Costa Rica"	"1810"	0
222	"El Salvador"	"1810"	0
320	"Guatemala"	"1810"	0
340	"Honduras"	"1810"	0
484	"Mexico"	"1810"	161.26
558	"Nicaragua"	"1810"	0
591	"Panama"	"1810"	0
32	"Argentina"	"1810"	168.8
68	"Bolivia (Plurinational State of)"	"1810"	0
76	"Brazil"	"1810"	164.3
152	"Chile"	"1810"	0
170	"Colombia"	"1810"	0
218	"Ecuador"	"1810"	0
328	"Guyana"	"1810"	0
600	"Paraguay"	"1810"	0
604	"Peru"	"1810"	163.4
858	"Uruguay"	"1810"	0
36	"Australia"	"1810"	0
554	"New Zealand"	"1810"	0
598	"Papua New Guinea"	"1810"	0
4	"Afghanistan"	"1810"	0
50	"Bangladesh"	"1810"	0
356	"India"	"1810"	0
364	"Iran (Islamic Republic of)"	"1810"	0
524	"Nepal"	"1810"	0
586	"Pakistan"	"1810"	0
144	"Sri Lanka"	"1810"	0
156	"China"	"1810"	165.7
344	"Hong Kong China"	"1810"	0
408	"Democratic People's Republic of Korea"	"1810"	0
392	"Japan"	"1810"	0
496	"Mongolia"	"1810"	0
410	"Korea"	"1810"	0
9002	"Taiwan"	"1810"	0
116	"Cambodia"	"1810"	0
360	"Indonesia"	"1810"	161.277
418	"Lao People's Democratic Republic"	"1810"	0
458	"Malaysia"	"1810"	0
104	"Myanmar"	"1810"	0
608	"Philippines"	"1810"	0
702	"Singapore"	"1810"	0
764	"Thailand"	"1810"	0
704	"Viet Nam"	"1810"	0
51	"Armenia"	"1810"	0
31	"Azerbaijan"	"1810"	0
48	"Bahrain"	"1810"	0
196	"Cyprus"	"1810"	0
268	"Georgia"	"1810"	0
368	"Iraq"	"1810"	0
376	"Israel"	"1810"	0
400	"Jordan"	"1810"	0
414	"Kuwait"	"1810"	0
422	"Lebanon"	"1810"	0
275	"Palestinian Authority"	"1810"	0
512	"Oman"	"1810"	0
682	"Saudi Arabia"	"1810"	0
760	"Syrian Arab Republic"	"1810"	0
792	"Turkey"	"1810"	0
784	"United Arab Emirates"	"1810"	0
887	"Yemen"	"1810"	0
398	"Kazakhstan"	"1810"	0
417	"Kyrgyzstan"	"1810"	0
762	"Tajikistan"	"1810"	0
795	"Turkmenistan"	"1810"	0
860	"Uzbekistan"	"1810"	0
12	"Algeria"	"1810"	0
818	"Egypt"	"1810"	0
434	"Libya"	"1810"	0
504	"Morocco"	"1810"	0
729	"Sudan (North)"	"1810"	0
788	"Tunisia"	"1810"	0
204	"Benin"	"1810"	164.9
854	"Burkina Faso"	"1810"	166.29
132	"Cape Verde"	"1810"	0
384	"Cote d'Ivoire"	"1810"	165.1
270	"Gambia"	"1810"	0
288	"Ghana"	"1810"	164.1
324	"Guinea"	"1810"	0
624	"Guinea-Bissau"	"1810"	165.4
430	"Liberia"	"1810"	0
466	"Mali"	"1810"	0
478	"Mauritania"	"1810"	0
562	"Niger"	"1810"	0
566	"Nigeria"	"1810"	165.2
686	"Senegal"	"1810"	165.4
694	"Sierra Leone"	"1810"	164.682
768	"Togo"	"1810"	0
24	"Angola"	"1810"	160.5
120	"Cameroon"	"1810"	165.9
140	"Central African Republic"	"1810"	0
148	"Chad"	"1810"	0
178	"Congo"	"1810"	163.3
180	"Democratic Republic of the Congo"	"1810"	163.3
226	"Equatorial Guinea"	"1810"	0
266	"Gabon"	"1810"	165.4
72	"Botswana"	"1810"	0
426	"Lesotho"	"1810"	0
516	"Namibia"	"1810"	0
710	"South Africa"	"1810"	0
748	"Swaziland"	"1810"	0
108	"Burundi"	"1810"	0
174	"Comoros"	"1810"	0
262	"Djibouti"	"1810"	0
232	"Eritrea"	"1810"	0
404	"Kenya"	"1810"	0
450	"Madagascar"	"1810"	0
454	"Malawi"	"1810"	0
480	"Mauritius"	"1810"	0
508	"Mozambique"	"1810"	164.1
646	"Rwanda"	"1810"	0
706	"Somalia"	"1810"	0
800	"Uganda"	"1810"	0
