"Code"	"Country"	"variable"	"value"
40	"Austria"	"1800"	0
56	"Belgium"	"1800"	0.8
250	"France"	"1800"	1.5
276	"Germany"	"1800"	2.4
438	"Liechtenstein"	"1800"	0
442	"Luxembourg"	"1800"	0
528	"Netherlands"	"1800"	0
756	"Switzerland"	"1800"	4.7
208	"Denmark"	"1800"	0
233	"Estonia"	"1800"	0
246	"Finland"	"1800"	2.1
352	"Iceland"	"1800"	0
372	"Ireland"	"1800"	2.3
428	"Latvia"	"1800"	0
440	"Lithuania"	"1800"	0
578	"Norway"	"1800"	0
752	"Sweden"	"1800"	0.9
8	"Albania"	"1800"	0
191	"Croatia"	"1800"	0
300	"Greece"	"1800"	0
380	"Italy"	"1800"	8
470	"Malta"	"1800"	0
499	"Montenegro"	"1800"	0
620	"Portugal"	"1800"	0
674	"San Marino"	"1800"	0
688	"Serbia"	"1800"	0
705	"Slovenia"	"1800"	0
724	"Spain"	"1800"	8.8
807	"Former Yugoslav Republic of Macedonia"	"1800"	0
112	"Belarus"	"1800"	0
100	"Bulgaria"	"1800"	0
203	"Czech Republic"	"1800"	0
348	"Hungary"	"1800"	0
616	"Poland"	"1800"	0
642	"Romania"	"1800"	0
804	"Ukraine"	"1800"	0
124	"Canada"	"1800"	0
840	"United States of America"	"1800"	0
28	"Antigua and Barbuda"	"1800"	0
44	"Bahamas"	"1800"	0
52	"Barbados"	"1800"	0
92	"British Virgin Islands"	"1800"	0
136	"Cayman Islands"	"1800"	0
192	"Cuba"	"1800"	0
212	"Dominica"	"1800"	0
308	"Grenada"	"1800"	0
312	"Guadeloupe"	"1800"	0
332	"Haiti"	"1800"	0
388	"Jamaica"	"1800"	0
474	"Martinique"	"1800"	0
500	"Montserrat"	"1800"	0
630	"Puerto Rico"	"1800"	0
659	"Saint Kitts and Nevis"	"1800"	0
662	"Saint Lucia"	"1800"	0
670	"Saint Vincent and the Grenadines"	"1800"	0
796	"Turks and Caicos Islands"	"1800"	0
850	"United States Virgin Islands"	"1800"	0
84	"Belize"	"1800"	0
188	"Costa Rica"	"1800"	0
222	"El Salvador"	"1800"	0
320	"Guatemala"	"1800"	0
340	"Honduras"	"1800"	0
484	"Mexico"	"1800"	0
558	"Nicaragua"	"1800"	0
591	"Panama"	"1800"	0
32	"Argentina"	"1800"	0
76	"Brazil"	"1800"	0
152	"Chile"	"1800"	0
170	"Colombia"	"1800"	0
218	"Ecuador"	"1800"	0
254	"French Guiana"	"1800"	0
328	"Guyana"	"1800"	0
