Code	Region	Country	variable	value
40	Western Europe	Austria	1820	0
56	Western Europe	Belgium	1820	16.6273
250	Western Europe	France	1820	18.2414
276	Western Europe	Germany	1820	8.42669
442	Western Europe	Luxembourg	1820	0
528	Western Europe	Netherlands	1820	13.8169
756	Western Europe	Switzerland	1820	0
208	Western Europe	Denmark	1820	0
233	Eastern Europe	Estonia	1820	0
234	Western Europe	Faeroe Islands	1820	0
246	Western Europe	Finland	1820	0
352	Western Europe	Iceland	1820	0
372	Western Europe	Ireland	1820	0
833	Western Europe	Isle of Man	1820	0
428	Eastern Europe	Latvia	1820	0
578	Western Europe	Norway	1820	0
752	Western Europe	Sweden	1820	0
826	Western Europe	United Kingdom	1820	14.7731
292	Western Europe	Gibraltar	1820	0
300	Western Europe	Greece	1820	0
380	Western Europe	Italy	1820	3.58433
470	Western Europe	Malta	1820	0
620	Western Europe	Portugal	1820	0
890	Eastern Europe	Socialist Federal Republic of Yugoslavia (until 1992)	1820	0
724	Western Europe	Spain	1820	0
112	Eastern Europe	Belarus	1820	0
203	Eastern Europe	Czech Republic	1820	0
348	Eastern Europe	Hungary	1820	0
616	Eastern Europe	Poland	1820	7.96305
642	Eastern Europe	Romania	1820	0
643	Eastern Europe	Russian Federation	1820	0
60	Latin America and Caribbean	Bermuda	1820	0
124	Western Offshoots	Canada	1820	0
304	Western Europe	Greenland	1820	0
666	Latin America and Caribbean	Saint Pierre and Miquelon	1820	0
840	Western Offshoots	United States of America	1820	0
28	Latin America and Caribbean	Antigua and Barbuda	1820	0
44	Latin America and Caribbean	Bahamas	1820	0
52	Latin America and Caribbean	Barbados	1820	0
192	Latin America and Caribbean	Cuba	1820	0
531	Latin America and Caribbean	Curaçao	1820	0
212	Latin America and Caribbean	Dominica	1820	0
214	Latin America and Caribbean	Dominican Republic	1820	0
308	Latin America and Caribbean	Grenada	1820	0
312	Latin America and Caribbean	Guadeloupe	1820	0
332	Latin America and Caribbean	Haiti	1820	0
388	Latin America and Caribbean	Jamaica	1820	0
474	Latin America and Caribbean	Martinique	1820	0
500	Latin America and Caribbean	Montserrat	1820	0
630	Latin America and Caribbean	Puerto Rico	1820	0
659	Latin America and Caribbean	Saint Kitts and Nevis	1820	0
662	Latin America and Caribbean	Saint Lucia	1820	0
670	Latin America and Caribbean	Saint Vincent and the Grenadines	1820	0
780	Latin America and Caribbean	Trinidad and Tobago	1820	0
850	Latin America and Caribbean	United States Virgin Islands	1820	0
84	Latin America and Caribbean	Belize	1820	0
188	Latin America and Caribbean	Costa Rica	1820	0
222	Latin America and Caribbean	El Salvador	1820	0
320	Latin America and Caribbean	Guatemala	1820	0
340	Latin America and Caribbean	Honduras	1820	0
484	Latin America and Caribbean	Mexico	1820	0
558	Latin America and Caribbean	Nicaragua	1820	0
591	Latin America and Caribbean	Panama	1820	0
32	Latin America and Caribbean	Argentina	1820	0
68	Latin America and Caribbean	Bolivia (Plurinational State of)	1820	0
76	Latin America and Caribbean	Brazil	1820	0
152	Latin America and Caribbean	Chile	1820	0
170	Latin America and Caribbean	Colombia	1820	0
218	Latin America and Caribbean	Ecuador	1820	0
238	Latin America and Caribbean	Falkland Islands (Malvinas)	1820	0
254	Latin America and Caribbean	French Guiana	1820	0
328	Latin America and Caribbean	Guyana	1820	0
600	Latin America and Caribbean	Paraguay	1820	0
604	Latin America and Caribbean	Peru	1820	3.38654
740	Latin America and Caribbean	Suriname	1820	0
858	Latin America and Caribbean	Uruguay	1820	0
862	Latin America and Caribbean	Venezuela (Bolivarian Republic of)	1820	0
