Code	Country	variable	value
40	Austria	1850	0.00811278
56	Belgium	1850	0.011684
250	France	1850	0.00270489
276	Germany	1850	0.00340572
442	Luxembourg	1850	1,00E-04
528	Netherlands	1850	0.00734882
756	Switzerland	1850	0.000902669
208	Denmark	1850	0.00165465
233	Estonia	1850	0.000456745
246	Finland	1850	0.0015
352	Iceland	1850	5.39651e-05
372	Ireland	1850	0.000355154
428	Latvia	1850	0.000641149
440	Lithuania	1850	0.000643485
578	Norway	1850	0.00233142
752	Sweden	1850	0.00355843
826	United Kingdom	1850	0.0412373
8	Albania	1850	0.000431591
70	Bosnia and Herzegovina	1850	5,00E-04
191	Croatia	1850	5,00E-04
292	Gibraltar	1850	0.000112113
300	Greece	1850	0.000837892
380	Italy	1850	0.000189852
470	Malta	1850	0.000139723
620	Portugal	1850	0.000263063
705	Slovenia	1850	0.000500001
724	Spain	1850	0.00152784
807	Former Yugoslav Republic of Macedonia	1850	0.000460514
112	Belarus	1850	0.00040874
100	Bulgaria	1850	0.000101425
203	Czech Republic	1850	0.000617298
348	Hungary	1850	0.0013438
616	Poland	1850	0.00160693
498	Republic of Moldova	1850	0.000241007
642	Romania	1850	0.00010585
643	Russian Federation	1850	0.00102933
703	Slovakia	1850	0.000287668
804	Ukraine	1850	0.000440686
124	Canada	1850	0.0016964
840	United States of America	1850	0.012898
192	Cuba	1850	0.00565719
214	Dominican Republic	1850	0.000186359
332	Haiti	1850	1,00E-04
388	Jamaica	1850	1,00E-04
780	Trinidad and Tobago	1850	1,00E-04
188	Costa Rica	1850	1,00E-04
222	El Salvador	1850	0.000140657
320	Guatemala	1850	1,00E-04
340	Honduras	1850	1,00E-04
484	Mexico	1850	0.000163396
558	Nicaragua	1850	1,00E-04
591	Panama	1850	1,00E-04
32	Argentina	1850	0.000173622
68	Bolivia (Plurinational State of)	1850	1,00E-04
76	Brazil	1850	0.000213063
152	Chile	1850	0.0195052
170	Colombia	1850	0.000178788
218	Ecuador	1850	0.000213063
600	Paraguay	1850	8.47251e-05
604	Peru	1850	1,00E-04
858	Uruguay	1850	0.000213063
862	Venezuela (Bolivarian Republic of)	1850	0.00316407
36	Australia	1850	0.0162535
554	New Zealand	1850	0.00011142
50	Bangladesh	1850	0.0001644
356	India	1850	0.000150925
364	Iran (Islamic Republic of)	1850	0.00018116
524	Nepal	1850	0.000158556
586	Pakistan	1850	0.000218151
144	Sri Lanka	1850	0.000148493
156	China	1850	0.000374559
344	Hong Kong China	1850	0.000301493
408	Democratic People's Republic of Korea	1850	0.00104292
392	Japan	1850	0.000783291
496	Mongolia	1850	0.000301493
410	Korea	1850	0.000275553
96	Brunei Darussalam	1850	0.000280256
116	Cambodia	1850	0.000301493
360	Indonesia	1850	0.000194756
458	Malaysia	1850	0.000106
104	Myanmar	1850	9.83e-05
608	Philippines	1850	0.000147694
702	Singapore	1850	1,00E-04
764	Thailand	1850	0.0002615
704	Viet Nam	1850	0.000172196
51	Armenia	1850	0.000434426
31	Azerbaijan	1850	0.000347379
48	Bahrain	1850	0.000205881
196	Cyprus	1850	0.00013468
268	Georgia	1850	0.00054723
368	Iraq	1850	0.000144087
376	Israel	1850	0.000404741
400	Jordan	1850	0.000393372
414	Kuwait	1850	0.000109935
422	Lebanon	1850	0.000148493
512	Oman	1850	0.000148493
634	Qatar	1850	0.000148493
682	Saudi Arabia	1850	0.000148493
760	Syrian Arab Republic	1850	0.000259863
792	Turkey	1850	0.000432712
784	United Arab Emirates	1850	0.000154696
887	Yemen	1850	0.000148493
398	Kazakhstan	1850	0.000380052
417	Kyrgyzstan	1850	0.000310287
762	Tajikistan	1850	0.000326378
795	Turkmenistan	1850	0.00032623
860	Uzbekistan	1850	0.000327888
12	Algeria	1850	1,00E-04
818	Egypt	1850	8.5674e-05
434	Libya	1850	0.000101394
504	Morocco	1850	0.000134695
788	Tunisia	1850	0.000210835
204	Benin	1850	0.00021012
384	Cote d'Ivoire	1850	0.000810922
288	Ghana	1850	0.000142905
566	Nigeria	1850	7.23691e-05
686	Senegal	1850	0.000113798
768	Togo	1850	1,00E-04
24	Angola	1850	0.000113507
120	Cameroon	1850	0.000101495
178	Congo	1850	6.99894e-05
180	Democratic Republic of the Congo	1850	5.68139e-05
266	Gabon	1850	6.02201e-05
72	Botswana	1850	3.49676e-05
516	Namibia	1850	4.46828e-05
710	South Africa	1850	0.00476383
232	Eritrea	1850	0.000104276
404	Kenya	1850	7.73028e-05
508	Mozambique	1850	0.000171922
834	United Republic of Tanzania	1850	0.000118209
894	Zambia	1850	0.000686624
716	Zimbabwe	1850	0.000167029
40	Austria	1860	0.016235
56	Belgium	1860	0.0173626
250	France	1860	0.00460288
276	Germany	1860	0.0069194
442	Luxembourg	1860	1,00E-04
528	Netherlands	1860	0.010338
756	Switzerland	1860	0.00168725
208	Denmark	1860	0.00228307
233	Estonia	1860	0.000421717
246	Finland	1860	0.0017978
352	Iceland	1860	5.77613e-05
372	Ireland	1860	0.000390694
428	Latvia	1860	0.000612299
440	Lithuania	1860	0.000624734
578	Norway	1860	0.00327901
752	Sweden	1860	0.00415235
826	United Kingdom	1860	0.0507419
8	Albania	1860	0.000462546
70	Bosnia and Herzegovina	1860	5,00E-04
191	Croatia	1860	0.000500024
292	Gibraltar	1860	1,00E-04
300	Greece	1860	0.00102903
380	Italy	1860	0.000202378
470	Malta	1860	0.000132327
620	Portugal	1860	0.000247585
705	Slovenia	1860	0.000500001
724	Spain	1860	0.0029253
807	Former Yugoslav Republic of Macedonia	1860	0.000447722
112	Belarus	1860	0.000404332
100	Bulgaria	1860	0.000101401
203	Czech Republic	1860	0.00138071
348	Hungary	1860	0.00392176
616	Poland	1860	0.00305923
498	Republic of Moldova	1860	0.00022409
642	Romania	1860	0.000116961
643	Russian Federation	1860	0.00088805
703	Slovakia	1860	0.000413196
804	Ukraine	1860	0.000507165
124	Canada	1860	0.00238347
840	United States of America	1860	0.0219047
192	Cuba	1860	0.000156743
214	Dominican Republic	1860	0.000217419
332	Haiti	1860	1,00E-04
388	Jamaica	1860	1,00E-04
780	Trinidad and Tobago	1860	1,00E-04
188	Costa Rica	1860	1,00E-04
222	El Salvador	1860	0.000132647
320	Guatemala	1860	1,00E-04
340	Honduras	1860	1,00E-04
484	Mexico	1860	0.00016507
558	Nicaragua	1860	1,00E-04
591	Panama	1860	1,00E-04
32	Argentina	1860	0.000142324
