Code	Region	Country	variable	value	region
56	Western Europe	Belgium	1850	3.65072	Western Europe
578	Western Europe	Norway	1850	5.69453	Western Europe
36	Western Offshoots	Australia	1850	1.06633	Western Offshoots
694	Sub-Saharan Africa	Sierra Leone	1850	0.307155	Sub-Saharan Africa
56	Western Europe	Belgium	1851	3.74244	Western Europe
578	Western Europe	Norway	1851	5.68345	Western Europe
36	Western Offshoots	Australia	1851	1.14419	Western Offshoots
694	Sub-Saharan Africa	Sierra Leone	1851	0.317729	Sub-Saharan Africa
56	Western Europe	Belgium	1852	3.77119	Western Europe
578	Western Europe	Norway	1852	5.67223	Western Europe
36	Western Offshoots	Australia	1852	1.16677	Western Offshoots
694	Sub-Saharan Africa	Sierra Leone	1852	0.300201	Sub-Saharan Africa
56	Western Europe	Belgium	1853	3.83555	Western Europe
578	Western Europe	Norway	1853	5.66037	Western Europe
36	Western Offshoots	Australia	1853	1.21721	Western Offshoots
694	Sub-Saharan Africa	Sierra Leone	1853	0.301514	Sub-Saharan Africa
56	Western Europe	Belgium	1854	3.86496	Western Europe
578	Western Europe	Norway	1854	5.64698	Western Europe
36	Western Offshoots	Australia	1854	1.24724	Western Offshoots
694	Sub-Saharan Africa	Sierra Leone	1854	0.315731	Sub-Saharan Africa
56	Western Europe	Belgium	1855	3.87039	Western Europe
578	Western Europe	Norway	1855	5.63381	Western Europe
36	Western Offshoots	Australia	1855	1.28411	Western Offshoots
694	Sub-Saharan Africa	Sierra Leone	1855	0.351187	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1855	0.721696	Sub-Saharan Africa
56	Western Europe	Belgium	1856	3.97406	Western Europe
578	Western Europe	Norway	1856	5.62031	Western Europe
36	Western Offshoots	Australia	1856	1.3535	Western Offshoots
694	Sub-Saharan Africa	Sierra Leone	1856	0.360907	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1856	0.739314	Sub-Saharan Africa
56	Western Europe	Belgium	1857	4.00969	Western Europe
578	Western Europe	Norway	1857	5.6076	Western Europe
36	Western Offshoots	Australia	1857	1.37252	Western Offshoots
694	Sub-Saharan Africa	Sierra Leone	1857	0.360948	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1857	0.808537	Sub-Saharan Africa
56	Western Europe	Belgium	1858	4.07764	Western Europe
578	Western Europe	Norway	1858	5.59549	Western Europe
