Code	Region	Country	variable	value
56	Western Europe	Belgium	1500	1467
276	Western Europe	Germany	1500	1146
528	Western Europe	Netherlands	1500	1454
826	Western Europe	United Kingdom	1500	1086
380	Western Europe	Italy	1500	1532
724	Western Europe	Spain	1500	846
792	MENA	Turkey	1500	660
818	MENA	Egypt	1500	680
56	Western Europe	Belgium	1550	1512
528	Western Europe	Netherlands	1550	1798
752	Western Europe	Sweden	1550	994
826	Western Europe	United Kingdom	1550	1058
620	Western Europe	Portugal	1550	1142
528	Western Europe	Netherlands	1570	1432
752	Western Europe	Sweden	1570	1031
826	Western Europe	United Kingdom	1570	1111
380	Western Europe	Italy	1570	1458
724	Western Europe	Spain	1570	910
56	Western Europe	Belgium	1600	1589
276	Western Europe	Germany	1600	807
528	Western Europe	Netherlands	1600	2662
752	Western Europe	Sweden	1600	761
826	Western Europe	United Kingdom	1600	1082
380	Western Europe	Italy	1600	1363
620	Western Europe	Portugal	1600	1164
724	Western Europe	Spain	1600	892
356	South and South-East Asia	India	1600	793
392	East Asia	Japan	1600	574
56	Western Europe	Belgium	1650	1445
276	Western Europe	Germany	1650	948
528	Western Europe	Netherlands	1650	2691
752	Western Europe	Sweden	1650	965
826	Western Europe	United Kingdom	1650	925
380	Western Europe	Italy	1650	1397
724	Western Europe	Spain	1650	687
840	Western Offshoots	United States of America	1650	587
356	South and South-East Asia	India	1650	746
392	East Asia	Japan	1650	559
56	Western Europe	Belgium	1700	1375
276	Western Europe	Germany	1700	939
528	Western Europe	Netherlands	1700	2105
752	Western Europe	Sweden	1700	1339
826	Western Europe	United Kingdom	1700	1513
380	Western Europe	Italy	1700	1476
620	Western Europe	Portugal	1700	975
724	Western Europe	Spain	1700	814
356	South and South-East Asia	India	1700	729
392	East Asia	Japan	1700	629
792	MENA	Turkey	1700	700
710	Sub-Saharan Africa	South Africa	1700	1703
752	Western Europe	Sweden	1720	1280
826	Western Europe	United Kingdom	1720	1703
840	Western Offshoots	United States of America	1720	900
710	Sub-Saharan Africa	South Africa	1720	1631
56	Western Europe	Belgium	1750	1361
276	Western Europe	Germany	1750	1050
528	Western Europe	Netherlands	1750	2355
752	Western Europe	Sweden	1750	972
826	Western Europe	United Kingdom	1750	1695
380	Western Europe	Italy	1750	1532
620	Western Europe	Portugal	1750	1248
724	Western Europe	Spain	1750	783
356	South and South-East Asia	India	1750	670
392	East Asia	Japan	1750	598
710	Sub-Saharan Africa	South Africa	1750	1692
752	Western Europe	Sweden	1775	970
826	Western Europe	United Kingdom	1775	1816
840	Western Offshoots	United States of America	1775	1232
710	Sub-Saharan Africa	South Africa	1775	1524
276	Western Europe	Germany	1800	986
528	Western Europe	Netherlands	1800	2609
752	Western Europe	Sweden	1800	856
826	Western Europe	United Kingdom	1800	2096
380	Western Europe	Italy	1800	1363
620	Western Europe	Portugal	1800	1024
724	Western Europe	Spain	1800	916
840	Western Offshoots	United States of America	1800	1296
192	Latin America and Caribbean	Cuba	1800	503
484	Latin America and Caribbean	Mexico	1800	836
32	Latin America and Caribbean	Argentina	1800	930
76	Latin America and Caribbean	Brazil	1800	683
152	Latin America and Caribbean	Chile	1800	626
170	Latin America and Caribbean	Colombia	1800	590
858	Latin America and Caribbean	Uruguay	1800	1085
862	Latin America and Caribbean	Venezuela (Bolivarian Republic of)	1800	415
392	East Asia	Japan	1800	641
528	Western Europe	Netherlands	1801	2563
752	Western Europe	Sweden	1801	849
826	Western Europe	United Kingdom	1801	2101
380	Western Europe	Italy	1801	1345
840	Western Offshoots	United States of America	1801	1320
356	South and South-East Asia	India	1801	648
528	Western Europe	Netherlands	1802	2704
752	Western Europe	Sweden	1802	888
826	Western Europe	United Kingdom	1802	2108
380	Western Europe	Italy	1802	1389
840	Western Offshoots	United States of America	1802	1341
528	Western Europe	Netherlands	1803	2646
752	Western Europe	Sweden	1803	879
826	Western Europe	United Kingdom	1803	2039
380	Western Europe	Italy	1803	1428
840	Western Offshoots	United States of America	1803	1319
528	Western Europe	Netherlands	1804	2772
752	Western Europe	Sweden	1804	822
826	Western Europe	United Kingdom	1804	2009
380	Western Europe	Italy	1804	1489
840	Western Offshoots	United States of America	1804	1318
710	Sub-Saharan Africa	South Africa	1804	917
528	Western Europe	Netherlands	1805	2609
752	Western Europe	Sweden	1805	875
826	Western Europe	United Kingdom	1805	2100
380	Western Europe	Italy	1805	1441
840	Western Offshoots	United States of America	1805	1345
710	Sub-Saharan Africa	South Africa	1805	869
528	Western Europe	Netherlands	1806	2628
752	Western Europe	Sweden	1806	884
826	Western Europe	United Kingdom	1806	2062
380	Western Europe	Italy	1806	1476
840	Western Offshoots	United States of America	1806	1370
710	Sub-Saharan Africa	South Africa	1806	869
528	Western Europe	Netherlands	1807	1840
752	Western Europe	Sweden	1807	848
826	Western Europe	United Kingdom	1807	2166
380	Western Europe	Italy	1807	1480
840	Western Offshoots	United States of America	1807	1383
710	Sub-Saharan Africa	South Africa	1807	942
528	Western Europe	Netherlands	1808	1640
752	Western Europe	Sweden	1808	802
826	Western Europe	United Kingdom	1808	2038
380	Western Europe	Italy	1808	1563
840	Western Offshoots	United States of America	1808	1286
710	Sub-Saharan Africa	South Africa	1808	825
752	Western Europe	Sweden	1809	766
826	Western Europe	United Kingdom	1809	2075
380	Western Europe	Italy	1809	1572
840	Western Offshoots	United States of America	1809	1349
710	Sub-Saharan Africa	South Africa	1809	806
752	Western Europe	Sweden	1810	827
826	Western Europe	United Kingdom	1810	2181
380	Western Europe	Italy	1810	1450
840	Western Offshoots	United States of America	1810	1388
710	Sub-Saharan Africa	South Africa	1810	891
752	Western Europe	Sweden	1811	889
826	Western Europe	United Kingdom	1811	2130
380	Western Europe	Italy	1811	1402
840	Western Offshoots	United States of America	1811	1415
356	South and South-East Asia	India	1811	617
710	Sub-Saharan Africa	South Africa	1811	707
56	Western Europe	Belgium	1812	1479
752	Western Europe	Sweden	1812	832
826	Western Europe	United Kingdom	1812	2012
380	Western Europe	Italy	1812	1432
840	Western Offshoots	United States of America	1812	1391
710	Sub-Saharan Africa	South Africa	1812	716
752	Western Europe	Sweden	1813	848
826	Western Europe	United Kingdom	1813	2088
380	Western Europe	Italy	1813	1471
840	Western Offshoots	United States of America	1813	1406
710	Sub-Saharan Africa	South Africa	1813	902
752	Western Europe	Sweden	1814	855
826	Western Europe	United Kingdom	1814	2010
380	Western Europe	Italy	1814	1489
840	Western Offshoots	United States of America	1814	1433
710	Sub-Saharan Africa	South Africa	1814	913
528	Western Europe	Netherlands	1815	1876
752	Western Europe	Sweden	1815	884
826	Western Europe	United Kingdom	1815	2188
380	Western Europe	Italy	1815	1423
840	Western Offshoots	United States of America	1815	1427
710	Sub-Saharan Africa	South Africa	1815	759
528	Western Europe	Netherlands	1816	1788
752	Western Europe	Sweden	1816	902
826	Western Europe	United Kingdom	1816	2039
380	Western Europe	Italy	1816	1402
840	Western Offshoots	United States of America	1816	1369
710	Sub-Saharan Africa	South Africa	1816	791
528	Western Europe	Netherlands	1817	1805
752	Western Europe	Sweden	1817	875
826	Western Europe	United Kingdom	1817	2041
380	Western Europe	Italy	1817	1415
840	Western Offshoots	United States of America	1817	1368
710	Sub-Saharan Africa	South Africa	1817	822
528	Western Europe	Netherlands	1818	1834
752	Western Europe	Sweden	1818	883
826	Western Europe	United Kingdom	1818	2008
380	Western Europe	Italy	1818	1524
840	Western Offshoots	United States of America	1818	1372
710	Sub-Saharan Africa	South Africa	1818	872
528	Western Europe	Netherlands	1819	1749
752	Western Europe	Sweden	1819	875
826	Western Europe	United Kingdom	1819	1946
380	Western Europe	Italy	1819	1511
840	Western Offshoots	United States of America	1819	1369
710	Sub-Saharan Africa	South Africa	1819	754
40	Western Europe	Austria	1820	1218
250	Western Europe	France	1820	1135
528	Western Europe	Netherlands	1820	1874
208	Western Europe	Denmark	1820	1274
246	Western Europe	Finland	1820	781
372	Western Europe	Ireland	1820	877
578	Western Europe	Norway	1820	801
752	Western Europe	Sweden	1820	887
826	Western Europe	United Kingdom	1820	2073
380	Western Europe	Italy	1820	1511
620	Western Europe	Portugal	1820	923
124	Western Offshoots	Canada	1820	904
840	Western Offshoots	United States of America	1820	1361
192	Latin America and Caribbean	Cuba	1820	644
388	Latin America and Caribbean	Jamaica	1820	700
484	Latin America and Caribbean	Mexico	1820	626
32	Latin America and Caribbean	Argentina	1820	998
76	Latin America and Caribbean	Brazil	1820	683
152	Latin America and Caribbean	Chile	1820	604
170	Latin America and Caribbean	Colombia	1820	533
858	Latin America and Caribbean	Uruguay	1820	1164
862	Latin America and Caribbean	Venezuela (Bolivarian Republic of)	1820	374
36	Western Offshoots	Australia	1820	518
364	MENA	Iran (Islamic Republic of)	1820	588
524	South and South-East Asia	Nepal	1820	397
144	South and South-East Asia	Sri Lanka	1820	550
156	East Asia	China	1820	600
344	East Asia	Hong Kong China	1820	615
408	East Asia	Democratic People's Republic of Korea	1820	335
410	East Asia	Korea	1820	335
9002	East Asia	Taiwan	1820	606
458	South and South-East Asia	Malaysia	1820	603
104	South and South-East Asia	Myanmar	1820	504
608	South and South-East Asia	Philippines	1820	584
764	South and South-East Asia	Thailand	1820	570
704	South and South-East Asia	Viet Nam	1820	527
368	MENA	Iraq	1820	588
400	MENA	Jordan	1820	590
422	MENA	Lebanon	1820	657
760	MENA	Syrian Arab Republic	1820	658
792	MENA	Turkey	1820	740
12	MENA	Algeria	1820	430
818	MENA	Egypt	1820	475
504	MENA	Morocco	1820	430
788	MENA	Tunisia	1820	430
710	Sub-Saharan Africa	South Africa	1820	745
250	Western Europe	France	1821	1225
528	Western Europe	Netherlands	1821	1836
208	Western Europe	Denmark	1821	1320
752	Western Europe	Sweden	1821	914
826	Western Europe	United Kingdom	1821	2074
380	Western Europe	Italy	1821	1484
840	Western Offshoots	United States of America	1821	1382
36	Western Offshoots	Australia	1821	523
356	South and South-East Asia	India	1821	588
710	Sub-Saharan Africa	South Africa	1821	880
250	Western Europe	France	1822	1176
528	Western Europe	Netherlands	1822	1853
208	Western Europe	Denmark	1822	1327
752	Western Europe	Sweden	1822	918
826	Western Europe	United Kingdom	1822	2080
380	Western Europe	Italy	1822	1502
840	Western Offshoots	United States of America	1822	1420
36	Western Offshoots	Australia	1822	538
710	Sub-Saharan Africa	South Africa	1822	821
250	Western Europe	France	1823	1213
528	Western Europe	Netherlands	1823	1945
208	Western Europe	Denmark	1823	1308
752	Western Europe	Sweden	1823	908
826	Western Europe	United Kingdom	1823	2107
380	Western Europe	Italy	1823	1515
840	Western Offshoots	United States of America	1823	1405
36	Western Offshoots	Australia	1823	556
250	Western Europe	France	1824	1246
528	Western Europe	Netherlands	1824	1931
208	Western Europe	Denmark	1824	1328
752	Western Europe	Sweden	1824	933
826	Western Europe	United Kingdom	1824	2190
380	Western Europe	Italy	1824	1554
840	Western Offshoots	United States of America	1824	1443
36	Western Offshoots	Australia	1824	587
