Code	Region	Country	variable	value
56	Western Europe	Belgium	1810	163.1
250	Western Europe	France	1810	163.9
276	Western Europe	Germany	1810	167.8
528	Western Europe	Netherlands	1810	166
246	Western Europe	Finland	1810	171.9
372	Western Europe	Ireland	1810	168
578	Western Europe	Norway	1810	168.6
826	Western Europe	United Kingdom	1810	169.7
191	Eastern Europe	Croatia	1810	163.2
380	Western Europe	Italy	1810	164.1
620	Western Europe	Portugal	1810	165.493
203	Eastern Europe	Czech Republic	1810	164
348	Eastern Europe	Hungary	1810	164.7
643	Eastern Europe	Russian Federation	1810	159.8
124	Western Offshoots	Canada	1810	171.5
484	Latin America and Caribbean	Mexico	1810	161.26
32	Latin America and Caribbean	Argentina	1810	168.8
76	Latin America and Caribbean	Brazil	1810	164.3
604	Latin America and Caribbean	Peru	1810	163.4
156	East Asia	China	1810	165.7
360	South and South-East Asia	Indonesia	1810	161.277
204	Sub-Saharan Africa	Benin	1810	164.9
854	Sub-Saharan Africa	Burkina Faso	1810	166.29
384	Sub-Saharan Africa	Cote d'Ivoire	1810	165.1
288	Sub-Saharan Africa	Ghana	1810	164.1
624	Sub-Saharan Africa	Guinea-Bissau	1810	165.4
566	Sub-Saharan Africa	Nigeria	1810	165.2
686	Sub-Saharan Africa	Senegal	1810	165.4
694	Sub-Saharan Africa	Sierra Leone	1810	164.682
24	Sub-Saharan Africa	Angola	1810	160.5
120	Sub-Saharan Africa	Cameroon	1810	165.9
178	Sub-Saharan Africa	Congo	1810	163.3
180	Sub-Saharan Africa	Democratic Republic of the Congo	1810	163.3
266	Sub-Saharan Africa	Gabon	1810	165.4
508	Sub-Saharan Africa	Mozambique	1810	164.1
40	Western Europe	Austria	1820	163.7
56	Western Europe	Belgium	1820	163.7
250	Western Europe	France	1820	163.9
276	Western Europe	Germany	1820	167.3
528	Western Europe	Netherlands	1820	165.1
756	Western Europe	Switzerland	1820	167.6
208	Western Europe	Denmark	1820	166.95
246	Western Europe	Finland	1820	170.05
372	Western Europe	Ireland	1820	165.4
578	Western Europe	Norway	1820	167.5
826	Western Europe	United Kingdom	1820	169.1
191	Eastern Europe	Croatia	1820	163.6
380	Western Europe	Italy	1820	165.8
620	Western Europe	Portugal	1820	166.338
203	Eastern Europe	Czech Republic	1820	163
348	Eastern Europe	Hungary	1820	164.3
643	Eastern Europe	Russian Federation	1820	162.1
804	Eastern Europe	Ukraine	1820	164.1
124	Western Offshoots	Canada	1820	171.5
840	Western Offshoots	United States of America	1820	172.2
484	Latin America and Caribbean	Mexico	1820	160.36
32	Latin America and Caribbean	Argentina	1820	169.9
76	Latin America and Caribbean	Brazil	1820	164.3
604	Latin America and Caribbean	Peru	1820	162.6
156	East Asia	China	1820	165.8
854	Sub-Saharan Africa	Burkina Faso	1820	165.36
566	Sub-Saharan Africa	Nigeria	1820	162.239
694	Sub-Saharan Africa	Sierra Leone	1820	162.16
40	Western Europe	Austria	1830	163.4
56	Western Europe	Belgium	1830	164
250	Western Europe	France	1830	164
276	Western Europe	Germany	1830	166.8
528	Western Europe	Netherlands	1830	164.2
756	Western Europe	Switzerland	1830	166.3
208	Western Europe	Denmark	1830	165.4
246	Western Europe	Finland	1830	169.5
372	Western Europe	Ireland	1830	168.1
578	Western Europe	Norway	1830	168.9
752	Western Europe	Sweden	1830	168.1
826	Western Europe	United Kingdom	1830	166.7
191	Eastern Europe	Croatia	1830	163.5
380	Western Europe	Italy	1830	164.1
620	Western Europe	Portugal	1830	165.292
724	Western Europe	Spain	1830	161
203	Eastern Europe	Czech Republic	1830	163.5
348	Eastern Europe	Hungary	1830	164.1
643	Eastern Europe	Russian Federation	1830	163
804	Eastern Europe	Ukraine	1830	164.8
124	Western Offshoots	Canada	1830	171.5
840	Western Offshoots	United States of America	1830	173.5
484	Latin America and Caribbean	Mexico	1830	160.36
32	Latin America and Caribbean	Argentina	1830	170.9
76	Latin America and Caribbean	Brazil	1830	164.8
604	Latin America and Caribbean	Peru	1830	162.5
156	East Asia	China	1830	165.8
704	South and South-East Asia	Viet Nam	1830	157.9
854	Sub-Saharan Africa	Burkina Faso	1830	166.72
40	Western Europe	Austria	1840	164.8
56	Western Europe	Belgium	1840	165.1
250	Western Europe	France	1840	164.3
276	Western Europe	Germany	1840	166.6
528	Western Europe	Netherlands	1840	164.5
