Code	Region	Country	variable	value
56	Western Europe	Belgium	1800	0.8
250	Western Europe	France	1800	1.5
276	Western Europe	Germany	1800	2.4
756	Western Europe	Switzerland	1800	4.7
246	Western Europe	Finland	1800	2.1
372	Western Europe	Ireland	1800	2.3
752	Western Europe	Sweden	1800	0.9
380	Western Europe	Italy	1800	8
724	Western Europe	Spain	1800	8.8
56	Western Europe	Belgium	1801	0.8
250	Western Europe	France	1801	1.5
276	Western Europe	Germany	1801	2.4
756	Western Europe	Switzerland	1801	4.7
246	Western Europe	Finland	1801	2.4
372	Western Europe	Ireland	1801	2.3
752	Western Europe	Sweden	1801	0.7
380	Western Europe	Italy	1801	8
724	Western Europe	Spain	1801	8.8
56	Western Europe	Belgium	1802	0.8
250	Western Europe	France	1802	1.5
276	Western Europe	Germany	1802	2.4
756	Western Europe	Switzerland	1802	4.7
246	Western Europe	Finland	1802	1.8
372	Western Europe	Ireland	1802	2.3
752	Western Europe	Sweden	1802	0.6
380	Western Europe	Italy	1802	8
724	Western Europe	Spain	1802	8.8
56	Western Europe	Belgium	1803	0.8
250	Western Europe	France	1803	1.5
276	Western Europe	Germany	1803	2.4
756	Western Europe	Switzerland	1803	4.7
246	Western Europe	Finland	1803	3.2
372	Western Europe	Ireland	1803	2.3
752	Western Europe	Sweden	1803	0.7
380	Western Europe	Italy	1803	8
724	Western Europe	Spain	1803	8.8
56	Western Europe	Belgium	1804	0.8
250	Western Europe	France	1804	1.5
276	Western Europe	Germany	1804	2.4
756	Western Europe	Switzerland	1804	4.7
246	Western Europe	Finland	1804	1.9
372	Western Europe	Ireland	1804	2.3
752	Western Europe	Sweden	1804	0.8
380	Western Europe	Italy	1804	8
724	Western Europe	Spain	1804	8.8
56	Western Europe	Belgium	1805	0.8
250	Western Europe	France	1805	1.5
276	Western Europe	Germany	1805	2.4
756	Western Europe	Switzerland	1805	4.7
246	Western Europe	Finland	1805	1.7
372	Western Europe	Ireland	1805	2.3
752	Western Europe	Sweden	1805	0.6
380	Western Europe	Italy	1805	8
724	Western Europe	Spain	1805	8.8
56	Western Europe	Belgium	1806	0.8
250	Western Europe	France	1806	1.5
276	Western Europe	Germany	1806	2.4
756	Western Europe	Switzerland	1806	4.7
246	Western Europe	Finland	1806	1.2
372	Western Europe	Ireland	1806	2.3
752	Western Europe	Sweden	1806	0.7
380	Western Europe	Italy	1806	8
724	Western Europe	Spain	1806	8.8
56	Western Europe	Belgium	1807	0.8
250	Western Europe	France	1807	1.5
276	Western Europe	Germany	1807	2.4
756	Western Europe	Switzerland	1807	4.7
372	Western Europe	Ireland	1807	2.3
752	Western Europe	Sweden	1807	0.7
380	Western Europe	Italy	1807	8
724	Western Europe	Spain	1807	8.8
56	Western Europe	Belgium	1808	0.8
250	Western Europe	France	1808	1.5
276	Western Europe	Germany	1808	2.4
756	Western Europe	Switzerland	1808	4.7
372	Western Europe	Ireland	1808	2.3
752	Western Europe	Sweden	1808	1.2
380	Western Europe	Italy	1808	8
724	Western Europe	Spain	1808	8.8
56	Western Europe	Belgium	1809	0.8
250	Western Europe	France	1809	1.5
276	Western Europe	Germany	1809	2.4
756	Western Europe	Switzerland	1809	4.7
246	Western Europe	Finland	1809	3.7
372	Western Europe	Ireland	1809	2.3
752	Western Europe	Sweden	1809	1.1
380	Western Europe	Italy	1809	8
724	Western Europe	Spain	1809	8.8
56	Western Europe	Belgium	1810	0.8
250	Western Europe	France	1810	1.5
276	Western Europe	Germany	1810	2.4
756	Western Europe	Switzerland	1810	4.7
246	Western Europe	Finland	1810	2.4
372	Western Europe	Ireland	1810	2.3
752	Western Europe	Sweden	1810	1
380	Western Europe	Italy	1810	8
724	Western Europe	Spain	1810	8.8
56	Western Europe	Belgium	1811	0.8
250	Western Europe	France	1811	1.5
276	Western Europe	Germany	1811	2.4
756	Western Europe	Switzerland	1811	4.7
246	Western Europe	Finland	1811	2.1
372	Western Europe	Ireland	1811	2.3
752	Western Europe	Sweden	1811	1.2
380	Western Europe	Italy	1811	8
724	Western Europe	Spain	1811	8.8
56	Western Europe	Belgium	1812	0.8
250	Western Europe	France	1812	1.5
276	Western Europe	Germany	1812	2.4
756	Western Europe	Switzerland	1812	4.7
246	Western Europe	Finland	1812	2.8
372	Western Europe	Ireland	1812	2.3
752	Western Europe	Sweden	1812	0.6
380	Western Europe	Italy	1812	8
724	Western Europe	Spain	1812	8.8
56	Western Europe	Belgium	1813	0.8
250	Western Europe	France	1813	1.5
276	Western Europe	Germany	1813	2.4
756	Western Europe	Switzerland	1813	4.7
246	Western Europe	Finland	1813	1.8
372	Western Europe	Ireland	1813	2.3
752	Western Europe	Sweden	1813	0.6
380	Western Europe	Italy	1813	8
724	Western Europe	Spain	1813	8.8
56	Western Europe	Belgium	1814	0.8
250	Western Europe	France	1814	1.5
276	Western Europe	Germany	1814	2.4
756	Western Europe	Switzerland	1814	4.7
372	Western Europe	Ireland	1814	2.3
752	Western Europe	Sweden	1814	0.6
380	Western Europe	Italy	1814	8
724	Western Europe	Spain	1814	8.8
56	Western Europe	Belgium	1815	0.8
250	Western Europe	France	1815	1.5
276	Western Europe	Germany	1815	2.4
756	Western Europe	Switzerland	1815	4.7
246	Western Europe	Finland	1815	3.2
372	Western Europe	Ireland	1815	2.3
752	Western Europe	Sweden	1815	0.9
380	Western Europe	Italy	1815	8
724	Western Europe	Spain	1815	8.8
56	Western Europe	Belgium	1816	0.8
250	Western Europe	France	1816	1.5
276	Western Europe	Germany	1816	2.4
756	Western Europe	Switzerland	1816	4.7
246	Western Europe	Finland	1816	2.6
372	Western Europe	Ireland	1816	2.3
752	Western Europe	Sweden	1816	1
380	Western Europe	Italy	1816	8
724	Western Europe	Spain	1816	8.8
56	Western Europe	Belgium	1817	0.8
250	Western Europe	France	1817	1.5
276	Western Europe	Germany	1817	2.4
756	Western Europe	Switzerland	1817	4.7
246	Western Europe	Finland	1817	2.4
372	Western Europe	Ireland	1817	2.3
752	Western Europe	Sweden	1817	0.8
380	Western Europe	Italy	1817	8
724	Western Europe	Spain	1817	8.8
56	Western Europe	Belgium	1818	0.8
250	Western Europe	France	1818	1.5
276	Western Europe	Germany	1818	2.4
756	Western Europe	Switzerland	1818	4.7
246	Western Europe	Finland	1818	1.6
372	Western Europe	Ireland	1818	2.3
752	Western Europe	Sweden	1818	1.1
380	Western Europe	Italy	1818	8
724	Western Europe	Spain	1818	8.8
56	Western Europe	Belgium	1819	0.8
250	Western Europe	France	1819	1.5
276	Western Europe	Germany	1819	2.4
756	Western Europe	Switzerland	1819	4.7
246	Western Europe	Finland	1819	2.5
372	Western Europe	Ireland	1819	2.3
752	Western Europe	Sweden	1819	1.6
380	Western Europe	Italy	1819	8
724	Western Europe	Spain	1819	8.8
56	Western Europe	Belgium	1820	0.8
250	Western Europe	France	1820	1.5
276	Western Europe	Germany	1820	2.4
756	Western Europe	Switzerland	1820	4.7
246	Western Europe	Finland	1820	3.1
372	Western Europe	Ireland	1820	2.3
752	Western Europe	Sweden	1820	1
380	Western Europe	Italy	1820	8
724	Western Europe	Spain	1820	8.8
710	Sub-Saharan Africa	South Africa	1820	5.2
