Code	Region	Country	variable	value
40	Western Europe	Austria	1820	53.3523
56	Western Europe	Belgium	1820	62.4367
250	Western Europe	France	1820	59
278	Eastern Europe	German Democratic Republic (until 1990)	1820	51.0315
528	Western Europe	Netherlands	1820	56.33
756	Western Europe	Switzerland	1820	41.7343
208	Western Europe	Denmark	1820	54.142
372	Western Europe	Ireland	1820	44.5814
578	Western Europe	Norway	1820	43.7341
752	Western Europe	Sweden	1820	55.4417
826	Western Europe	United Kingdom	1820	59.27
380	Western Europe	Italy	1820	53.8633
620	Western Europe	Portugal	1820	55.0671
724	Western Europe	Spain	1820	38.04
200	Eastern Europe	Czechoslovakia (until 1993)	1820	34.9103
348	Eastern Europe	Hungary	1820	47.4129
616	Eastern Europe	Poland	1820	34.5105
804	Eastern Europe	Ukraine	1820	45.5681
810	Eastern Europe	USSR (until 1991)	1820	57.8503
124	Western Offshoots	Canada	1820	45.1361
840	Western Offshoots	United States of America	1820	57.0073
484	Latin America and Caribbean	Mexico	1820	40.1136
32	Latin America and Caribbean	Argentina	1820	47.101
76	Latin America and Caribbean	Brazil	1820	47.101
152	Latin America and Caribbean	Chile	1820	47.101
604	Latin America and Caribbean	Peru	1820	57.3951
356	South and South-East Asia	India	1820	32.8
156	East Asia	China	1820	44.8543
392	East Asia	Japan	1820	53.1575
360	South and South-East Asia	Indonesia	1820	51.6944
764	South and South-East Asia	Thailand	1820	47.4269
792	MENA	Turkey	1820	57.7147
818	MENA	Egypt	1820	57.7147
204	Sub-Saharan Africa	Benin	1820	47.9506
288	Sub-Saharan Africa	Ghana	1820	58.4403
566	Sub-Saharan Africa	Nigeria	1820	54.8526
686	Sub-Saharan Africa	Senegal	1820	45.9049
24	Sub-Saharan Africa	Angola	1820	48.9334
120	Sub-Saharan Africa	Cameroon	1820	56.1505
178	Sub-Saharan Africa	Congo	1820	51.0688
40	Western Europe	Austria	1850	36.0652
56	Western Europe	Belgium	1850	52.7683
250	Western Europe	France	1850	54.3298
278	Eastern Europe	German Democratic Republic (until 1990)	1850	40.1979
528	Western Europe	Netherlands	1850	48.4946
756	Western Europe	Switzerland	1850	49.5462
208	Western Europe	Denmark	1850	51.4793
372	Western Europe	Ireland	1850	29.634
578	Western Europe	Norway	1850	39.4891
752	Western Europe	Sweden	1850	46.1122
826	Western Europe	United Kingdom	1850	43.4914
380	Western Europe	Italy	1850	50.536
620	Western Europe	Portugal	1850	33.4622
705	Eastern Europe	Slovenia	1850	27.7146
724	Western Europe	Spain	1850	31.6082
100	Eastern Europe	Bulgaria	1850	39.5
200	Eastern Europe	Czechoslovakia (until 1993)	1850	48.5684
348	Eastern Europe	Hungary	1850	33.1053
616	Eastern Europe	Poland	1850	36.1977
804	Eastern Europe	Ukraine	1850	30.2709
810	Eastern Europe	USSR (until 1991)	1850	54
124	Western Offshoots	Canada	1850	26.737
840	Western Offshoots	United States of America	1850	43.7974
484	Latin America and Caribbean	Mexico	1850	31.6158
32	Latin America and Caribbean	Argentina	1850	33.6867
76	Latin America and Caribbean	Brazil	1850	36.8888
152	Latin America and Caribbean	Chile	1850	63.61
604	Latin America and Caribbean	Peru	1850	45.0916
36	Western Offshoots	Australia	1850	41.3074
598	South and South-East Asia	Papua New Guinea	1850	25.7537
50	South and South-East Asia	Bangladesh	1850	41.827
356	South and South-East Asia	India	1850	38.7291
586	South and South-East Asia	Pakistan	1850	28.6889
156	East Asia	China	1850	32.7988
392	East Asia	Japan	1850	45.7656
360	South and South-East Asia	Indonesia	1850	41.9696
458	South and South-East Asia	Malaysia	1850	25.2607
104	South and South-East Asia	Myanmar	1850	30.4921
608	South and South-East Asia	Philippines	1850	32.5497
764	South and South-East Asia	Thailand	1850	42
51	Eastern Europe	Armenia	1850	29.1218
792	MENA	Turkey	1850	37.4289
818	MENA	Egypt	1850	63.0997
288	Sub-Saharan Africa	Ghana	1850	42.9266
148	Sub-Saharan Africa	Chad	1850	50.6146
56	Western Europe	Belgium	1870	52.8058
250	Western Europe	France	1870	58
278	Eastern Europe	German Democratic Republic (until 1990)	1870	48.0901
528	Western Europe	Netherlands	1870	56.5
756	Western Europe	Switzerland	1870	50.7296
208	Western Europe	Denmark	1870	48.8166
246	Western Europe	Finland	1870	50.5843
372	Western Europe	Ireland	1870	38.539
428	Eastern Europe	Latvia	1870	48.8774
578	Western Europe	Norway	1870	47.6508
752	Western Europe	Sweden	1870	51.9219
826	Western Europe	United Kingdom	1870	48.97
8	Eastern Europe	Albania	1870	41.2354
300	Western Europe	Greece	1870	49.9308
380	Western Europe	Italy	1870	51.0817
620	Western Europe	Portugal	1870	51.5898
705	Eastern Europe	Slovenia	1870	43.3808
890	Eastern Europe	Socialist Federal Republic of Yugoslavia (until 1992)	1870	32.5205
724	Western Europe	Spain	1870	33.5963
100	Eastern Europe	Bulgaria	1870	47.8268
200	Eastern Europe	Czechoslovakia (until 1993)	1870	54.4001
348	Eastern Europe	Hungary	1870	45.1088
616	Eastern Europe	Poland	1870	38.2372
810	Eastern Europe	USSR (until 1991)	1870	50
124	Western Offshoots	Canada	1870	43.7922
840	Western Offshoots	United States of America	1870	51.3407
484	Latin America and Caribbean	Mexico	1870	51.0948
32	Latin America and Caribbean	Argentina	1870	52.2
76	Latin America and Caribbean	Brazil	1870	39.2
152	Latin America and Caribbean	Chile	1870	59.4
170	Latin America and Caribbean	Colombia	1870	58.9431
604	Latin America and Caribbean	Peru	1870	53.4036
858	Latin America and Caribbean	Uruguay	1870	48.1
36	Western Offshoots	Australia	1870	47.5451
598	South and South-East Asia	Papua New Guinea	1870	45.2436
4	South and South-East Asia	Afghanistan	1870	49.5812
50	South and South-East Asia	Bangladesh	1870	50.1948
356	South and South-East Asia	India	1870	39.8465
364	MENA	Iran (Islamic Republic of)	1870	49.3619
586	South and South-East Asia	Pakistan	1870	46.6183
156	East Asia	China	1870	40.8825
392	East Asia	Japan	1870	45.9628
360	South and South-East Asia	Indonesia	1870	39
458	South and South-East Asia	Malaysia	1870	40.9269
104	South and South-East Asia	Myanmar	1870	46.0671
608	South and South-East Asia	Philippines	1870	52.6535
764	South and South-East Asia	Thailand	1870	36.4518
51	Eastern Europe	Armenia	1870	59.5407
31	Eastern Europe	Azerbaijan	1870	73.7
368	MENA	Iraq	1870	50.5443
760	MENA	Syrian Arab Republic	1870	59.3399
792	MENA	Turkey	1870	55.949
417	Eastern Europe	Kyrgyzstan	1870	45.95
762	Eastern Europe	Tajikistan	1870	47.3655
818	MENA	Egypt	1870	44.7613
504	MENA	Morocco	1870	48.6449
288	Sub-Saharan Africa	Ghana	1870	56.0644
148	Sub-Saharan Africa	Chad	1870	48.1493
404	Sub-Saharan Africa	Kenya	1870	46.3127
454	Sub-Saharan Africa	Malawi	1870	45.7137
508	Sub-Saharan Africa	Mozambique	1870	52.6069
646	Sub-Saharan Africa	Rwanda	1870	59.0102
56	Western Europe	Belgium	1890	49
250	Western Europe	France	1890	48
278	Eastern Europe	German Democratic Republic (until 1990)	1890	38.6739
528	Western Europe	Netherlands	1890	42.2601
756	Western Europe	Switzerland	1890	34.8294
208	Western Europe	Denmark	1890	39.859
233	Eastern Europe	Estonia	1890	32.2501
246	Western Europe	Finland	1890	35.868
372	Western Europe	Ireland	1890	33.0315
428	Eastern Europe	Latvia	1890	35.4506
578	Western Europe	Norway	1890	36.7862
752	Western Europe	Sweden	1890	59.4903
826	Western Europe	United Kingdom	1890	37.3668
8	Eastern Europe	Albania	1890	28.3624
300	Western Europe	Greece	1890	33.7257
380	Western Europe	Italy	1890	45.9799
620	Western Europe	Portugal	1890	39.4093
890	Eastern Europe	Socialist Federal Republic of Yugoslavia (until 1992)	1890	30.401
724	Western Europe	Spain	1890	31.4119
100	Eastern Europe	Bulgaria	1890	34.7732
200	Eastern Europe	Czechoslovakia (until 1993)	1890	42.1356
616	Eastern Europe	Poland	1890	29.9576
804	Eastern Europe	Ukraine	1890	39.0761
810	Eastern Europe	USSR (until 1991)	1890	37.7199
124	Western Offshoots	Canada	1890	41.23
840	Western Offshoots	United States of America	1890	45.5232
388	Latin America and Caribbean	Jamaica	1890	39.1036
630	Latin America and Caribbean	Puerto Rico	1890	35.1842
320	Latin America and Caribbean	Guatemala	1890	35.3
484	Latin America and Caribbean	Mexico	1890	43.8277
32	Latin America and Caribbean	Argentina	1890	44.5968
76	Latin America and Caribbean	Brazil	1890	35.5856
152	Latin America and Caribbean	Chile	1890	55.1315
