Code	Region	Country	variable	value
56	Western Europe	Belgium	1820	16.6273
250	Western Europe	France	1820	18.2414
276	Western Europe	Germany	1820	8.42669
528	Western Europe	Netherlands	1820	13.8169
826	Western Europe	United Kingdom	1820	14.7731
380	Western Europe	Italy	1820	3.58433
616	Eastern Europe	Poland	1820	7.96305
604	Latin America and Caribbean	Peru	1820	3.38654
156	East Asia	China	1820	3.71093
392	East Asia	Japan	1820	4.26582
792	MENA	Turkey	1820	7.362
56	Western Europe	Belgium	1821	19.7092
250	Western Europe	France	1821	19.298
276	Western Europe	Germany	1821	9.75722
528	Western Europe	Netherlands	1821	14.1978
826	Western Europe	United Kingdom	1821	17.8422
380	Western Europe	Italy	1821	3.37399
724	Western Europe	Spain	1821	18.6984
616	Eastern Europe	Poland	1821	6.4303
604	Latin America and Caribbean	Peru	1821	3.87157
392	East Asia	Japan	1821	4.21123
792	MENA	Turkey	1821	6.66733
56	Western Europe	Belgium	1822	21.6989
250	Western Europe	France	1822	18.5357
276	Western Europe	Germany	1822	9.75722
528	Western Europe	Netherlands	1822	21.1922
826	Western Europe	United Kingdom	1822	19.3801
380	Western Europe	Italy	1822	4.39498
724	Western Europe	Spain	1822	18.7953
616	Eastern Europe	Poland	1822	6.7941
604	Latin America and Caribbean	Peru	1822	4.70153
156	East Asia	China	1822	3.47292
392	East Asia	Japan	1822	3.91878
56	Western Europe	Belgium	1823	18.8254
250	Western Europe	France	1823	17.9475
276	Western Europe	Germany	1823	9.26936
528	Western Europe	Netherlands	1823	18.4368
826	Western Europe	United Kingdom	1823	16.3642
380	Western Europe	Italy	1823	4.61735
724	Western Europe	Spain	1823	18.8931
616	Eastern Europe	Poland	1823	8.41653
604	Latin America and Caribbean	Peru	1823	4.66374
392	East Asia	Japan	1823	5.17046
56	Western Europe	Belgium	1824	25.1465
250	Western Europe	France	1824	18.9444
276	Western Europe	Germany	1824	12.3591
528	Western Europe	Netherlands	1824	20.7649
826	Western Europe	United Kingdom	1824	14.9735
380	Western Europe	Italy	1824	5.08067
724	Western Europe	Spain	1824	12.2315
616	Eastern Europe	Poland	1824	10.8259
604	Latin America and Caribbean	Peru	1824	4.05769
156	East Asia	China	1824	2.88597
392	East Asia	Japan	1824	3.93828
56	Western Europe	Belgium	1825	23.5263
250	Western Europe	France	1825	17.8972
276	Western Europe	Germany	1825	12.7853
528	Western Europe	Netherlands	1825	19.4969
826	Western Europe	United Kingdom	1825	14.2007
380	Western Europe	Italy	1825	4.68099
724	Western Europe	Spain	1825	12.2992
616	Eastern Europe	Poland	1825	11.2158
156	East Asia	China	1825	3.08895
392	East Asia	Japan	1825	3.87589
360	South and South-East Asia	Indonesia	1825	2.88552
56	Western Europe	Belgium	1826	20.4082
250	Western Europe	France	1826	15.7778
276	Western Europe	Germany	1826	11.2356
528	Western Europe	Netherlands	1826	15.5717
826	Western Europe	United Kingdom	1826	14.0085
380	Western Europe	Italy	1826	4.84056
724	Western Europe	Spain	1826	15.1216
616	Eastern Europe	Poland	1826	10.0398
392	East Asia	Japan	1826	4.05526
