Code	Region	Country	variable	value
40	Western Europe	Austria	1850	31.4747
56	Western Europe	Belgium	1850	51.2145
250	Western Europe	France	1850	97.7886
276	Western Europe	Germany	1850	114.929
442	Western Europe	Luxembourg	1850	0.0183337
528	Western Europe	Netherlands	1850	22.6373
756	Western Europe	Switzerland	1850	2.15919
208	Western Europe	Denmark	1850	2.48032
233	Eastern Europe	Estonia	1850	0.294575
246	Western Europe	Finland	1850	2.46252
352	Western Europe	Iceland	1850	0.00393163
372	Western Europe	Ireland	1850	2.44275
428	Eastern Europe	Latvia	1850	0.568042
440	Eastern Europe	Lithuania	1850	0.664655
578	Western Europe	Norway	1850	3.28532
752	Western Europe	Sweden	1850	10.8105
826	Western Europe	United Kingdom	1850	915.032
8	Eastern Europe	Albania	1850	0.215796
70	Eastern Europe	Bosnia and Herzegovina	1850	0.44018
191	Eastern Europe	Croatia	1850	0.636842
292	Western Europe	Gibraltar	1850	0.00114711
300	Western Europe	Greece	1850	2.55054
380	Western Europe	Italy	1850	4.64379
470	Western Europe	Malta	1850	0.018164
620	Western Europe	Portugal	1850	0.988933
705	Eastern Europe	Slovenia	1850	0.243651
724	Western Europe	Spain	1850	21.7197
807	Eastern Europe	Former Yugoslav Republic of Macedonia	1850	0.203393
112	Eastern Europe	Belarus	1850	1.42183
100	Eastern Europe	Bulgaria	1850	0.25
203	Eastern Europe	Czech Republic	1850	1.9125
348	Eastern Europe	Hungary	1850	6.19965
616	Eastern Europe	Poland	1850	20.89
498	Eastern Europe	Republic of Moldova	1850	0.443834
642	Eastern Europe	Romania	1850	0.846799
643	Eastern Europe	Russian Federation	1850	39.748
703	Eastern Europe	Slovakia	1850	0.645234
804	Eastern Europe	Ukraine	1850	5.07784
124	Western Offshoots	Canada	1850	4.06763
840	Western Offshoots	United States of America	1850	306.853
192	Latin America and Caribbean	Cuba	1850	6.70943
214	Latin America and Caribbean	Dominican Republic	1850	0.0392668
332	Latin America and Caribbean	Haiti	1850	0.0938
388	Latin America and Caribbean	Jamaica	1850	0.043424
780	Latin America and Caribbean	Trinidad and Tobago	1850	0.008
188	Latin America and Caribbean	Costa Rica	1850	0.0103147
222	Latin America and Caribbean	El Salvador	1850	0.0514805
320	Latin America and Caribbean	Guatemala	1850	0.085
340	Latin America and Caribbean	Honduras	1850	0.035
484	Latin America and Caribbean	Mexico	1850	1.47632
558	Latin America and Caribbean	Nicaragua	1850	0.03
591	Latin America and Caribbean	Panama	1850	0.0135
32	Latin America and Caribbean	Argentina	1850	0.193004
68	Latin America and Caribbean	Bolivia (Plurinational State of)	1850	0.142318
76	Latin America and Caribbean	Brazil	1850	1.72162
152	Latin America and Caribbean	Chile	1850	26.0563
170	Latin America and Caribbean	Colombia	1850	0.369197
218	Latin America and Caribbean	Ecuador	1850	0.173859
600	Latin America and Caribbean	Paraguay	1850	0.0423626
604	Latin America and Caribbean	Peru	1850	0.2001
858	Latin America and Caribbean	Uruguay	1850	0.0281243
862	Latin America and Caribbean	Venezuela (Bolivarian Republic of)	1850	4.12425
36	Western Offshoots	Australia	1850	9.24139
554	Western Offshoots	New Zealand	1850	0.0350827
50	South and South-East Asia	Bangladesh	1850	3.63348
356	South and South-East Asia	India	1850	35.0146
364	MENA	Iran (Islamic Republic of)	1850	1.39004
524	South and South-East Asia	Nepal	1850	0.690035
586	South and South-East Asia	Pakistan	1850	3.97704
144	South and South-East Asia	Sri Lanka	1850	0.329209
156	East Asia	China	1850	161.58
344	East Asia	Hong Kong China	1850	0.00994926
408	East Asia	Democratic People's Republic of Korea	1850	4.6577
392	East Asia	Japan	1850	25.0653
496	East Asia	Mongolia	1850	0.19474
410	East Asia	Korea	1850	2.63015
96	South and South-East Asia	Brunei Darussalam	1850	0.00168986
116	South and South-East Asia	Cambodia	1850	0.673061
360	South and South-East Asia	Indonesia	1850	3.11609
458	South and South-East Asia	Malaysia	1850	0.106
104	South and South-East Asia	Myanmar	1850	0.7864
608	South and South-East Asia	Philippines	1850	0.533472
702	South and South-East Asia	Singapore	1850	0.00643221
764	South and South-East Asia	Thailand	1850	1.04668
704	South and South-East Asia	Viet Nam	1850	1.53895
51	Eastern Europe	Armenia	1850	0.289471
31	Eastern Europe	Azerbaijan	1850	0.451835
48	MENA	Bahrain	1850	0.0114946
196	MENA	Cyprus	1850	0.0202019
268	Eastern Europe	Georgia	1850	0.849243
368	MENA	Iraq	1850	0.186527
376	MENA	Israel	1850	0.179316
400	MENA	Jordan	1850	0.0331343
414	MENA	Kuwait	1850	0.0151372
422	MENA	Lebanon	1850	0.0615724
512	MENA	Oman	1850	0.0514273
634	MENA	Qatar	1850	0.00248557
682	MENA	Saudi Arabia	1850	0.333428
760	MENA	Syrian Arab Republic	1850	0.38581
792	MENA	Turkey	1850	4.84122
784	MENA	United Arab Emirates	1850	0.00691873
887	MENA	Yemen	1850	0.40502
398	Eastern Europe	Kazakhstan	1850	0.560428
417	Eastern Europe	Kyrgyzstan	1850	0.314414
762	Eastern Europe	Tajikistan	1850	0.291091
795	Eastern Europe	Turkmenistan	1850	0.230068
860	Eastern Europe	Uzbekistan	1850	1.20564
12	MENA	Algeria	1850	0.408838
818	MENA	Egypt	1850	0.471207
434	MENA	Libya	1850	0.0560009
504	MENA	Morocco	1850	0.5569
788	MENA	Tunisia	1850	0.204197
204	Sub-Saharan Africa	Benin	1850	0.200308
384	Sub-Saharan Africa	Cote d'Ivoire	1850	0.130375
288	Sub-Saharan Africa	Ghana	1850	0.307698
566	Sub-Saharan Africa	Nigeria	1850	1.85548
686	Sub-Saharan Africa	Senegal	1850	0.118864
768	Sub-Saharan Africa	Togo	1850	0.0574511
24	Sub-Saharan Africa	Angola	1850	0.276404
120	Sub-Saharan Africa	Cameroon	1850	0.195967
178	Sub-Saharan Africa	Congo	1850	0.0349168
180	Sub-Saharan Africa	Democratic Republic of the Congo	1850	0.543974
266	Sub-Saharan Africa	Gabon	1850	0.0179968
72	Sub-Saharan Africa	Botswana	1850	0.00756809
516	Sub-Saharan Africa	Namibia	1850	0.0134094
710	Sub-Saharan Africa	South Africa	1850	1.24545
232	Sub-Saharan Africa	Eritrea	1850	0.0281278
404	Sub-Saharan Africa	Kenya	1850	0.26269
508	Sub-Saharan Africa	Mozambique	1850	0.455683
834	Sub-Saharan Africa	United Republic of Tanzania	1850	0.330689
894	Sub-Saharan Africa	Zambia	1850	0.369229
716	Sub-Saharan Africa	Zimbabwe	1850	0.159878
40	Western Europe	Austria	1860	67.8796
56	Western Europe	Belgium	1860	81.57
250	Western Europe	France	1860	170.202
276	Western Europe	Germany	1860	249.438
442	Western Europe	Luxembourg	1860	0.0204411
528	Western Europe	Netherlands	1860	34.4887
756	Western Europe	Switzerland	1860	4.23567
208	Western Europe	Denmark	1860	3.87209
233	Eastern Europe	Estonia	1860	0.310839
246	Western Europe	Finland	1860	3.11813
352	Western Europe	Iceland	1860	0.00438354
372	Western Europe	Ireland	1860	2.27423
428	Eastern Europe	Latvia	1860	0.619979
440	Eastern Europe	Lithuania	1860	0.737471
578	Western Europe	Norway	1860	5.23248
752	Western Europe	Sweden	1860	13.3207
826	Western Europe	United Kingdom	1860	1232.56
8	Eastern Europe	Albania	1860	0.255094
70	Eastern Europe	Bosnia and Herzegovina	1860	0.466857
191	Eastern Europe	Croatia	1860	0.675471
292	Western Europe	Gibraltar	1860	0.00127896
300	Western Europe	Greece	1860	3.43284
380	Western Europe	Italy	1860	5.27822
470	Western Europe	Malta	1860	0.0187904
620	Western Europe	Portugal	1860	1.00185
705	Eastern Europe	Slovenia	1860	0.258418
724	Western Europe	Spain	1860	45.8278
807	Eastern Europe	Former Yugoslav Republic of Macedonia	1860	0.21572
112	Eastern Europe	Belarus	1860	1.52371
100	Eastern Europe	Bulgaria	1860	0.2543
203	Eastern Europe	Czech Republic	1860	4.6122
348	Eastern Europe	Hungary	1860	18.939
616	Eastern Europe	Poland	1860	45.682
498	Eastern Europe	Republic of Moldova	1860	0.44707
642	Eastern Europe	Romania	1860	1.00464
643	Eastern Europe	Russian Federation	1860	39.3944
703	Eastern Europe	Slovakia	1860	0.982959
804	Eastern Europe	Ukraine	1860	6.67287
124	Western Offshoots	Canada	1860	8.09823
840	Western Offshoots	United States of America	1860	698.51
192	Latin America and Caribbean	Cuba	1860	0.197261
214	Latin America and Caribbean	Dominican Republic	1860	0.0490835
332	Latin America and Caribbean	Haiti	1860	0.1044
388	Latin America and Caribbean	Jamaica	1860	0.0445976
780	Latin America and Caribbean	Trinidad and Tobago	1860	0.0102
188	Latin America and Caribbean	Costa Rica	1860	0.0118393
222	Latin America and Caribbean	El Salvador	1860	0.0569055
320	Latin America and Caribbean	Guatemala	1860	0.0965
340	Latin America and Caribbean	Honduras	1860	0.0389672
484	Latin America and Caribbean	Mexico	1860	1.54686
558	Latin America and Caribbean	Nicaragua	1860	0.03185
591	Latin America and Caribbean	Panama	1860	0.01555
32	Latin America and Caribbean	Argentina	1860	0.20216
68	Latin America and Caribbean	Bolivia (Plurinational State of)	1860	0.169918
76	Latin America and Caribbean	Brazil	1860	1.98352
152	Latin America and Caribbean	Chile	1860	48.6317
170	Latin America and Caribbean	Colombia	1860	0.384911
218	Latin America and Caribbean	Ecuador	1860	0.194846
600	Latin America and Caribbean	Paraguay	1860	0.0486771
604	Latin America and Caribbean	Peru	1860	0.230041
858	Latin America and Caribbean	Uruguay	1860	0.0506024
862	Latin America and Caribbean	Venezuela (Bolivarian Republic of)	1860	4.17248
36	Western Offshoots	Australia	1860	24.3748
554	Western Offshoots	New Zealand	1860	0.0407576
50	South and South-East Asia	Bangladesh	1860	3.80087
356	South and South-East Asia	India	1860	39.4866
364	MENA	Iran (Islamic Republic of)	1860	1.67803
524	South and South-East Asia	Nepal	1860	0.768681
586	South and South-East Asia	Pakistan	1860	4.32287
144	South and South-East Asia	Sri Lanka	1860	0.371455
156	East Asia	China	1860	147.046
344	East Asia	Hong Kong China	1860	0.0235164
408	East Asia	Democratic People's Republic of Korea	1860	4.47153
392	East Asia	Japan	1860	25.7729
496	East Asia	Mongolia	1860	0.19804
410	East Asia	Korea	1860	2.67473
96	South and South-East Asia	Brunei Darussalam	1860	0.00183681
116	South and South-East Asia	Cambodia	1860	0.689086
360	South and South-East Asia	Indonesia	1860	3.63572
458	South and South-East Asia	Malaysia	1860	0.133
104	South and South-East Asia	Myanmar	1860	0.8177
608	South and South-East Asia	Philippines	1860	0.637782
702	South and South-East Asia	Singapore	1860	0.00832404
764	South and South-East Asia	Thailand	1860	1.10121
704	South and South-East Asia	Viet Nam	1860	1.76126
51	Eastern Europe	Armenia	1860	0.292834
31	Eastern Europe	Azerbaijan	1860	0.455631
48	MENA	Bahrain	1860	0.012084
196	MENA	Cyprus	1860	0.022524
268	Eastern Europe	Georgia	1860	0.862155
